WTA,Location,Tournament,Date,Tier,Court,surface,Round,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL,tourney_date
1,Auckland,ASB Classic,2026-01-04,WTA250,Outdoor,Hard,1st Round,3,Bejlek S.,Udvardy P.,93,87.0,792,819.0,7.0,5.0,6,1,,,2.0,0.0,Completed,1.57,2.38,1.5,2.75,1.57,2.75,1.5,2.57,1.55,2.78,20260104
1,Auckland,ASB Classic,2026-01-04,WTA250,Outdoor,Hard,1st Round,3,Jovic I.,Knutson G.,35,182.0,1423,386.0,4.0,6.0,6,1,6,0,2.0,1.0,Completed,1.17,5.0,1.21,5.02,1.19,5.25,1.17,4.83,1.22,5.3,20260104
1,Auckland,ASB Classic,2026-01-05,WTA250,Outdoor,Hard,1st Round,3,Costoulas S.,Osuigwe W.,159,152.0,440,455.0,6.0,4.0,3,6,6,1,2.0,1.0,Completed,1.5,2.63,1.5,2.77,1.5,3.1,1.44,2.72,1.5,2.86,20260105
1,Auckland,ASB Classic,2026-01-05,WTA250,Outdoor,Hard,1st Round,3,Wang Xin.,McNally C.,57,83.0,1056,836.0,2.0,6.0,6,3,7,5,2.0,1.0,Completed,2,1.8,1.96,1.93,2.04,1.95,1.93,1.84,2.02,1.92,20260105
1,Auckland,ASB Classic,2026-01-05,WTA250,Outdoor,Hard,1st Round,3,Quevedo K.,Stearns P.,141,64.0,509,982.0,6.0,2.0,7,5,,,2.0,0.0,Completed,3,1.4,2.97,1.44,3.0,1.44,2.84,1.41,3.0,1.46,20260105
1,Auckland,ASB Classic,2026-01-05,WTA250,Outdoor,Hard,1st Round,3,Kraus S.,Grabher J.,108,92.0,709,799.0,6.0,3.0,6,3,,,2.0,0.0,Completed,1.57,2.38,1.58,2.51,1.58,2.5,1.56,2.4,1.59,2.66,20260105
1,Auckland,ASB Classic,2026-01-05,WTA250,Outdoor,Hard,1st Round,3,Jones F.,Navarro E.,72,15.0,912,2515.0,7.0,5.0,2,6,6,4,2.0,1.0,Completed,4.33,1.22,4.31,1.25,4.33,1.25,3.98,1.24,4.7,1.26,20260105
1,Auckland,ASB Classic,2026-01-05,WTA250,Outdoor,Hard,1st Round,3,Zarazua R.,Stephens S.,77,1098.0,844,14.0,7.0,5.0,4,6,6,2,2.0,1.0,Completed,1.25,4.0,1.25,4.43,1.26,4.25,1.23,3.98,1.25,4.8,20260105
1,Auckland,ASB Classic,2026-01-05,WTA250,Outdoor,Hard,1st Round,3,Marcinko P.,Osorio M.,82,76.0,837,860.0,6.0,4.0,0,6,7,6,2.0,1.0,Completed,1.8,2.0,1.79,2.12,1.81,2.01,1.78,1.99,1.79,2.22,20260105
1,Auckland,ASB Classic,2026-01-05,WTA250,Outdoor,Hard,1st Round,3,Boulter K.,Starodubtseva Y.,112,111.0,684,685.0,6.0,3.0,6,3,,,2.0,0.0,Completed,1.8,2.0,1.83,2.06,1.8,2.1,1.77,2.02,1.84,2.16,20260105
